"","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd"
"Local:List2",NA,0.00478800128276107,0.0586061213008402,-2.59077518717603,3,-0.00994284446957013,0.00915345876485009
"Local:List1",NA,0.417707413597571,0.489537014398895,0.207761971251805,6,0.00151451799313881,0.00757293930338285
